provider_id,provider_type,region,network_status,prior_auth_volume_band,avg_incomplete_submission_rate,avg_response_time_days,provider_risk_segment
PRV-0191,Imaging Center,West,In-Network,Very High (500+/yr),0.163,3.37,Moderate-Risk
PRV-0192,Home Health Agency,Midwest,In-Network,Medium (50-199/yr),0.345,1.15,High-Risk
PRV-0193,Specialist,Midwest,Out-of-Network,High (200-499/yr),0.238,4.56,Moderate-Risk
PRV-0194,Hospital,West,In-Network,High (200-499/yr),0.074,1.61,Low-Risk
PRV-0195,Specialist,Midwest,In-Network,Low (1-49/yr),0.13,1.29,Low-Risk
PRV-0196,Specialist,Southeast,In-Network,High (200-499/yr),0.117,6.37,Low-Risk
PRV-0197,Home Health Agency,Midwest,In-Network,Medium (50-199/yr),0.16,4.11,Moderate-Risk
PRV-0198,Hospital,Northeast,In-Network,High (200-499/yr),0.155,6.92,Moderate-Risk
PRV-0199,DME Supplier,Midwest,In-Network,Low (1-49/yr),0.209,4.23,Moderate-Risk
PRV-0200,Imaging Center,Southeast,In-Network,Medium (50-199/yr),0.194,7.72,Moderate-Risk
PRV-0201,DME Supplier,West,Out-of-Network,Medium (50-199/yr),0.357,7.26,High-Risk
PRV-0202,Surgery Center,Northeast,In-Network,High (200-499/yr),0.09,7.06,Low-Risk
PRV-0203,Post-Acute Facility,Midwest,In-Network,Medium (50-199/yr),0.137,3.26,Low-Risk
PRV-0204,Hospital,Midwest,In-Network,High (200-499/yr),0.163,0.72,Moderate-Risk
PRV-0205,DME Supplier,Southeast,In-Network,Very High (500+/yr),0.262,0.76,Moderate-Risk
PRV-0206,Imaging Center,Southwest,In-Network,High (200-499/yr),0.116,8.35,Low-Risk
PRV-0207,Imaging Center,Southeast,In-Network,High (200-499/yr),0.129,4.86,Low-Risk
PRV-0208,Specialist,Southeast,In-Network,High (200-499/yr),0.249,8.43,Moderate-Risk
PRV-0209,Surgery Center,Northeast,In-Network,High (200-499/yr),0.214,8.6,Moderate-Risk
PRV-0210,Primary Care,West,In-Network,Medium (50-199/yr),0.258,9.78,Moderate-Risk
PRV-0211,Home Health Agency,Midwest,In-Network,High (200-499/yr),0.341,7.83,High-Risk
PRV-0212,Specialist,Northeast,In-Network,High (200-499/yr),0.172,3.17,Moderate-Risk
PRV-0213,Post-Acute Facility,Southeast,In-Network,Very High (500+/yr),0.275,8.68,Moderate-Risk
PRV-0214,Specialist,Southeast,In-Network,Medium (50-199/yr),0.238,1.53,Moderate-Risk
PRV-0215,Surgery Center,Northeast,In-Network,Low (1-49/yr),0.153,9.17,Moderate-Risk
PRV-0216,Hospital,Southeast,In-Network,High (200-499/yr),0.056,2.55,Low-Risk
PRV-0217,Specialist,Midwest,In-Network,Medium (50-199/yr),0.235,3.21,Moderate-Risk
PRV-0218,Surgery Center,Midwest,In-Network,High (200-499/yr),0.177,2.81,Moderate-Risk
PRV-0219,Hospital,Southeast,In-Network,Very High (500+/yr),0.145,8.58,Low-Risk
PRV-0220,Hospital,Midwest,In-Network,Very High (500+/yr),0.12,3.71,Low-Risk
PRV-0221,Hospital,Southeast,In-Network,Very High (500+/yr),0.091,8.99,Low-Risk
PRV-0222,Home Health Agency,West,In-Network,Very High (500+/yr),0.306,2.07,High-Risk
PRV-0223,Primary Care,West,In-Network,Medium (50-199/yr),0.197,5.15,Moderate-Risk
PRV-0224,Hospital,Northeast,In-Network,Very High (500+/yr),0.123,0.66,Low-Risk
PRV-0225,Hospital,Southeast,In-Network,High (200-499/yr),0.081,4.5,Low-Risk
PRV-0226,Primary Care,West,In-Network,High (200-499/yr),0.213,4.23,Moderate-Risk
PRV-0227,Imaging Center,Southeast,In-Network,Low (1-49/yr),0.092,3.78,Low-Risk
PRV-0228,Specialist,Northeast,In-Network,Medium (50-199/yr),0.18,3.37,Moderate-Risk
PRV-0229,Imaging Center,Southeast,In-Network,High (200-499/yr),0.096,4.67,Low-Risk
PRV-0230,Imaging Center,Midwest,Out-of-Network,High (200-499/yr),0.179,1.19,Moderate-Risk
PRV-0231,Imaging Center,West,In-Network,Medium (50-199/yr),0.097,8.84,Low-Risk
PRV-0232,Specialist,Southwest,In-Network,Medium (50-199/yr),0.193,3.66,Moderate-Risk
PRV-0233,Hospital,Southeast,In-Network,High (200-499/yr),0.132,7.54,Low-Risk
PRV-0234,Imaging Center,Southeast,In-Network,High (200-499/yr),0.115,7.9,Low-Risk
PRV-0235,DME Supplier,West,In-Network,Medium (50-199/yr),0.258,2.38,Moderate-Risk
PRV-0236,DME Supplier,Southeast,Out-of-Network,Medium (50-199/yr),0.369,8.55,High-Risk
PRV-0237,Hospital,Northeast,Out-of-Network,High (200-499/yr),0.103,8.59,Low-Risk
PRV-0238,Specialist,Northeast,In-Network,High (200-499/yr),0.272,1.92,Moderate-Risk
PRV-0239,Specialist,Southeast,In-Network,High (200-499/yr),0.194,1.69,Moderate-Risk
PRV-0240,Specialist,Southeast,In-Network,Very High (500+/yr),0.254,2.47,Moderate-Risk
PRV-0241,Primary Care,West,In-Network,Medium (50-199/yr),0.162,6.02,Moderate-Risk
PRV-0242,DME Supplier,West,In-Network,Low (1-49/yr),0.358,0.78,High-Risk
PRV-0243,Surgery Center,West,In-Network,High (200-499/yr),0.16,5.66,Moderate-Risk
PRV-0244,Specialist,Southeast,Out-of-Network,High (200-499/yr),0.174,7.85,Moderate-Risk
PRV-0245,Specialist,Southeast,In-Network,High (200-499/yr),0.15,8.78,Low-Risk
PRV-0246,Home Health Agency,Midwest,In-Network,Low (1-49/yr),0.313,5.13,High-Risk
PRV-0247,Imaging Center,West,In-Network,High (200-499/yr),0.18,8.21,Moderate-Risk
PRV-0248,Imaging Center,Southwest,In-Network,Medium (50-199/yr),0.13,3.63,Low-Risk
PRV-0249,Specialist,Midwest,In-Network,High (200-499/yr),0.115,7.13,Low-Risk
PRV-0250,Hospital,Northeast,In-Network,Very High (500+/yr),0.107,0.61,Low-Risk
PRV-0251,Hospital,West,In-Network,Very High (500+/yr),0.171,1.13,Moderate-Risk
PRV-0252,Behavioral Health,Midwest,In-Network,Medium (50-199/yr),0.153,7.12,Moderate-Risk
PRV-0253,Hospital,Northeast,In-Network,High (200-499/yr),0.074,2.52,Low-Risk
PRV-0254,Specialist,Midwest,In-Network,Medium (50-199/yr),0.129,7.33,Low-Risk
PRV-0255,Surgery Center,Northeast,In-Network,Low (1-49/yr),0.176,5.78,Moderate-Risk
PRV-0256,Post-Acute Facility,Southeast,In-Network,High (200-499/yr),0.143,4.76,Low-Risk
PRV-0257,Home Health Agency,West,In-Network,Medium (50-199/yr),0.298,7.89,Moderate-Risk
PRV-0258,Post-Acute Facility,Midwest,In-Network,Medium (50-199/yr),0.174,2.15,Moderate-Risk
PRV-0259,Surgery Center,Southeast,In-Network,Very High (500+/yr),0.169,7.85,Moderate-Risk
PRV-0260,Primary Care,Southeast,In-Network,High (200-499/yr),0.28,2.11,Moderate-Risk
PRV-0261,Imaging Center,Southeast,In-Network,Medium (50-199/yr),0.146,9.94,Low-Risk
PRV-0262,Specialist,Southeast,In-Network,Very High (500+/yr),0.137,3.1,Low-Risk
PRV-0263,Imaging Center,Northeast,In-Network,Medium (50-199/yr),0.18,1.73,Moderate-Risk
PRV-0264,Primary Care,West,Out-of-Network,High (200-499/yr),0.297,9.62,Moderate-Risk
PRV-0265,Surgery Center,Northeast,In-Network,High (200-499/yr),0.153,0.52,Moderate-Risk
PRV-0266,Primary Care,Northeast,In-Network,Very High (500+/yr),0.142,4.31,Low-Risk
PRV-0267,Hospital,Northeast,In-Network,Medium (50-199/yr),0.143,5.3,Low-Risk
PRV-0268,Specialist,Southeast,In-Network,Medium (50-199/yr),0.204,3.37,Moderate-Risk
PRV-0269,Post-Acute Facility,Southwest,In-Network,High (200-499/yr),0.158,5.69,Moderate-Risk
PRV-0270,Surgery Center,Southeast,Out-of-Network,High (200-499/yr),0.127,6.86,Low-Risk
PRV-0271,Home Health Agency,Midwest,In-Network,High (200-499/yr),0.262,1.04,Moderate-Risk
PRV-0272,Imaging Center,Southeast,In-Network,High (200-499/yr),0.204,9.35,Moderate-Risk
PRV-0273,Specialist,Midwest,In-Network,High (200-499/yr),0.235,9.7,Moderate-Risk
PRV-0274,Primary Care,Midwest,In-Network,High (200-499/yr),0.193,6.83,Moderate-Risk
PRV-0275,Hospital,Southeast,In-Network,Very High (500+/yr),0.053,2.43,Low-Risk
PRV-0276,Behavioral Health,Southeast,In-Network,High (200-499/yr),0.253,3.42,Moderate-Risk
PRV-0277,Primary Care,Northeast,In-Network,Low (1-49/yr),0.24,8.38,Moderate-Risk
PRV-0278,Specialist,West,In-Network,High (200-499/yr),0.279,8.51,Moderate-Risk
PRV-0279,Specialist,Midwest,In-Network,Medium (50-199/yr),0.108,6.5,Low-Risk
PRV-0280,Primary Care,Southwest,In-Network,High (200-499/yr),0.195,9.42,Moderate-Risk
PRV-0281,Specialist,West,In-Network,Very High (500+/yr),0.107,5.92,Low-Risk
PRV-0282,DME Supplier,Southeast,In-Network,Medium (50-199/yr),0.329,7.1,High-Risk
PRV-0283,Hospital,West,Out-of-Network,Very High (500+/yr),0.144,2.17,Low-Risk
